Date,Open,High,Low,Close,Volume,Volume(NRK),Market Cap
August 31 2023,$0.0836,$0.0844,$0.0809,$0.0829,$2.8 m,33650722,$0
August 30 2023,$0.0846,$0.0847,$0.0833,$0.0837,$2.3 m,27860741,$0
August 29 2023,$0.0868,$0.0886,$0.0820,$0.0846,$2.3 m,26989697,$0
August 28 2023,$0.0871,$0.0893,$0.0834,$0.0871,$2.8 m,32024959,$0
August 27 2023,$0.0827,$0.0866,$0.0810,$0.0865,$1.8 m,21167556,$0
August 26 2023,$0.0833,$0.0838,$0.0794,$0.0826,$1.5 m,18126409,$0
August 25 2023,$0.0862,$0.0875,$0.0826,$0.0833,$1.4 m,16793091,$0
August 24 2023,$0.0870,$0.0900,$0.0853,$0.0862,$1.6 m,18636268,$0
August 23 2023,$0.0874,$0.0904,$0.0859,$0.0871,$1.7 m,18827756,$0
August 22 2023,$0.0855,$0.0935,$0.0844,$0.0875,$1.8 m,20205614,$0
August 21 2023,$0.0882,$0.0884,$0.0837,$0.0857,$1.6 m,19071105,$0
August 20 2023,$0.0857,$0.0909,$0.0848,$0.0883,$1.8 m,20133740,$0
August 19 2023,$0.0842,$0.0863,$0.0830,$0.0856,$1.4 m,16691717,$0
August 18 2023,$0.0849,$0.0850,$0.0820,$0.0842,$1.7 m,20841902,$0
August 17 2023,$0.0857,$0.0858,$0.0841,$0.0850,$1.6 m,19124900,$0
August 16 2023,$0.0854,$0.0871,$0.0853,$0.0857,$1.6 m,18338262,$0
August 15 2023,$0.0869,$0.0873,$0.0841,$0.0854,$1.5 m,17912363,$0
August 14 2023,$0.0861,$0.0890,$0.0852,$0.0868,$1.5 m,17247427,$0
August 13 2023,$0.0856,$0.0877,$0.0837,$0.0860,$1.9 m,22562067,$0
August 12 2023,$0.0881,$0.0900,$0.0839,$0.0857,$1.8 m,20501916,$0
August 11 2023,$0.0894,$0.0907,$0.0880,$0.0881,$1.6 m,18461987,$0
August 10 2023,$0.0895,$0.0929,$0.0885,$0.0895,$1.8 m,20220382,$0
August 09 2023,$0.0881,$0.0906,$0.0880,$0.0893,$1.4 m,15717946,$0
August 08 2023,$0.0905,$0.0911,$0.0880,$0.0881,$1.4 m,15474936,$0
